"Transaction ID","hasException","exceptionTransferAmount"
"gs_155","No",NA
"gs_156","No",NA
"gs_157","No",NA
"gs_158","No",NA
"gs_159","No",NA
"gs_160","No",NA
"gs_161","No",NA
"gs_162","No",NA
"gs_163","No",NA
"gs_164","No",NA
"gs_165","No",NA
"gs_166","No",NA
"gs_167","No",NA
"gs_168","No",NA
"gs_169","No",NA
"gs_170","No",NA
"gs_171","No",NA
"gs_172","No",NA
"gs_173","No",NA
"gs_174","No",NA
"gs_175","No",NA
"gs_176","No",NA
"gs_177","No",NA
"gs_178","No",NA
"gs_180","No",NA
"gs_181","No",NA
"gs_182","No",NA
"gs_183","No",NA
"gs_184","No",NA
"gs_185","No",NA
"gs_186","No",NA
"gs_187","No",NA
"gs_188","No",NA
"gs_189","No",NA
"gs_190","No",NA
"gs_191","No",NA
"gs_192","No",NA
"gs_193","No",NA
"gs_194","No",NA
"gs_195","No",NA
"gs_196","No",NA
"gs_197","No",NA
"gs_198","No",NA
"gs_199","No",NA
"gs_200","No",NA
"gs_201","No",NA
"gs_202","No",NA
"gs_203","No",NA
"gs_204","No",NA
"gs_205","No",NA
"gs_206","No",NA
"gs_207","No",NA
"gs_208","No",NA
"gs_209","No",NA
"gs_210","No",NA
"gs_211","No",NA
"gs_212","No",NA
"gs_213","No",NA
"gs_214","No",NA
"gs_215","No",NA
"gs_216","No",NA
"gs_221","No",NA
"gs_222","No",NA
"gs_224","No",NA
"gs_225","Yes, a unique exception",1000
"gs_226","No",NA
"gs_227","No",NA
"gs_228","No",NA
"gs_229","No",NA
"gs_230","No",NA
"gs_231","No",NA
"gs_232","No",NA
"gs_233","No",NA
"gs_234","No",NA
"gs_235","No",NA
"gs_236","No",NA
"gs_237","No",NA
"gs_238","No",NA
"gs_242","No",NA
"gs_243","No",NA
"gs_244","No",NA
"gs_245","No",NA
"gs_246","No",NA
"gs_247","No",NA
"gs_248","No",NA
"gs_249","No",NA
"gs_250","No",NA
"gs_251","No",NA
"gs_252","No",NA
"gs_253","No",NA
"gs_254","No",NA
"gs_255","No",NA
"gs_256","No",NA
"gs_257","No",NA
"gs_258","No",NA
"gs_259","No",NA
"gs_260","No",NA
"gs_261","No",NA
"gs_262","No",NA
"gs_263","No",NA
"gs_264","No",NA
"gs_265","No",NA
"gs_266","No",NA
"gs_267","No",NA
"gs_268","No",NA
"gs_269","No",NA
"gs_270","No",NA
"gs_271","No",NA
"gs_272","No",NA
"gs_273","No",NA
"gs_274","No",NA
"gs_275","No",NA
"gs_276","No",NA
"gs_277","No",NA
"gs_278","No",NA
"gs_279","No",NA
"gs_280","No",NA
"gs_281","No",NA
"gs_282","No",NA
"gs_283","No",NA
"gs_284","No",NA
"gs_285","No",NA
"gs_286","No",NA
"gs_287","No",NA
"gs_288","No",NA
"gs_289","No",NA
"gs_290","No",NA
"gs_291","No",NA
"gs_292","No",NA
"gs_293","No",NA
"gs_294","No",NA
"gs_295","No",NA
"gs_296","No",NA
"gs_297","No",NA
"gs_298","No",NA
"gs_299","No",NA
"gs_300","No",NA
"gs_301","No",NA
"gs_302","No",NA
"gs_303","No",NA
"gs_304","No",NA
"gs_305","No",NA
"gs_306","No",NA
"gs_307","No",NA
"gs_308","No",NA
"gs_309","No",NA
"gs_310","No",NA
"gs_311","No",NA
"gs_312","No",NA
"gs_313","No",NA
"gs_314","No",NA
"gs_315","No",NA
"gs_316","No",NA
"gs_317","No",NA
"gs_318","No",NA
"gs_319","No",NA
"gs_320","No",NA
"gs_321","No",NA
"gs_322","No",NA
"gs_323","No",NA
"gs_324","No",NA
"gs_325","No",NA
"gs_326","No",NA
"gs_327","No",NA
"gs_328","No",NA
"gs_329","No",NA
"gs_330","No",NA
"gs_331","No",NA
"gs_332","No",NA
"gs_333","No",NA
"gs_334","No",NA
"gs_335","No",NA
"gs_336","No",NA
"gs_337","No",NA
"gs_338","No",NA
"gs_339","No",NA
"gs_340","No",NA
"gs_341","No",NA
"gs_342","No",NA
"gs_343","No",NA
"gs_344","No",NA
"gs_345","No",NA
"gs_346","No",NA
"gs_347","No",NA
"gs_348","No",NA
"gs_349","No",NA
"gs_350","No",NA
"gs_351","No",NA
"gs_352","No",NA
"gs_353","No",NA
"gs_354","No",NA
"gs_355","No",NA
"gs_356","No",NA
"gs_358","No",NA
"gs_361","No",NA
"gs_362","No",NA
"gs_363","No",NA
"gs_364","No",NA
"gs_365","No",NA
"gs_366","No",NA
"gs_367","No",NA
"gs_368","No",NA
"gs_369","No",NA
"gs_370","No",NA
"gs_371","No",NA
"gs_372","No",NA
"gs_373","No",NA
"gs_374","No",NA
"gs_375","No",NA
"gs_376","No",NA
"gs_377","No",NA
"gs_378","No",NA
"gs_379","No",NA
"gs_380","No",NA
"gs_381","No",NA
"gs_382","No",NA
"gs_383","No",NA
"gs_384","No",NA
"gs_385","No",NA
"gs_386","No",NA
"gs_387","No",NA
"gs_388","No",NA
"gs_389","No",NA
"gs_390","No",NA
"gs_391","No",NA
"gs_392","No",NA
"gs_393","No",NA
"gs_394","No",NA
"gs_395","No",NA
"gs_396","No",NA
"gs_397","No",NA
"gs_398","No",NA
"gs_399","No",NA
"gs_400","No",NA
"gs_401","No",NA
"gs_402","No",NA
"gs_403","No",NA
"gs_404","No",NA
"gs_405","No",NA
"gs_406","No",NA
"gs_407","No",NA
"gs_408","No",NA
"gs_409","No",NA
"gs_410","No",NA
"gs_411","No",NA
"gs_412","No",NA
"gs_413","No",NA
"gs_414","No",NA
"gs_415","No",NA
"gs_416","No",NA
"gs_417","No",NA
"gs_418","No",NA
"gs_419","No",NA
"gs_420","No",NA
"gs_421","No",NA
"gs_422","No",NA
"gs_423","No",NA
"gs_424","No",NA
"gs_425","No",NA
"gs_426","No",NA
"gs_427","No",NA
"gs_428","No",NA
"gs_429","No",NA
"gs_430","No",NA
"gs_431","No",NA
"gs_432","No",NA
"gs_433","No",NA
"gs_434","No",NA
"gs_435","No",NA
"gs_436","No",NA
"gs_437","No",NA
"gs_438","No",NA
"gs_439","No",NA
"gs_440","No",NA
"gs_441","No",NA
"gs_442","No",NA
"gs_443","No",NA
"gs_444","No",NA
"gs_445","No",NA
"gs_446","No",NA
"gs_447","No",NA
"gs_448","No",NA
"gs_449","No",NA
"gs_450","No",NA
"gs_451","No",NA
"gs_452","No",NA
"gs_453","No",NA
"gs_454","No",NA
"gs_455","No",NA
"gs_456","No",NA
"gs_457","No",NA
"gs_458","No",NA
"gs_459","No",NA
"gs_460","No",NA
"gs_461","No",NA
"gs_462","No",NA
"gs_463","No",NA
"gs_464","No",NA
"gs_475","No",NA
"gs_476","No",NA
"gs_477","No",NA
"gs_478","No",NA
"gs_479","No",NA
"gs_480","No",NA
"gs_481","No",NA
"gs_482","No",NA
"gs_483","No",NA
"gs_484","No",NA
"gs_485","No",NA
"gs_486","No",NA
"gs_487","No",NA
"gs_488","No",NA
"gs_489","No",NA
"gs_490","No",NA
"gs_491","No",NA
"gs_492","No",NA
"gs_493","No",NA
"gs_494","No",NA
"gs_495","No",NA
"gs_496","No",NA
"gs_497","No",NA
"gs_498","No",NA
"gs_499","No",NA
"gs_500","No",NA
"gs_501","No",NA
"gs_502","No",NA
"gs_503","No",NA
"gs_504","No",NA
"gs_505","No",NA
"gs_506","No",NA
"gs_507","No",NA
"gs_508","No",NA
"gs_509","No",NA
"gs_510","No",NA
"gs_511","No",NA
"gs_512","No",NA
"gs_513","No",NA
"gs_514","No",NA
"gs_515","No",NA
"gs_516","No",NA
"gs_517","No",NA
"gs_518","No",NA
"gs_519","No",NA
"gs_520","No",NA
"gs_521","No",NA
"gs_522","No",NA
"gs_523","No",NA
"gs_524","No",NA
"gs_525","No",NA
"gs_526","No",NA
"gs_527","No",NA
"gs_528","No",NA
"gs_529","No",NA
"gs_530","No",NA
"gs_531","No",NA
"gs_532","No",NA
"gs_533","No",NA
"gs_534","No",NA
"gs_535","No",NA
"gs_536","No",NA
"gs_537","No",NA
"gs_538","No",NA
"gs_539","No",NA
"gs_540","No",NA
"gs_541","No",NA
"gs_542","No",NA
"gs_543","No",NA
"gs_544","No",NA
"gs_545","No",NA
"gs_546","No",NA
"gs_547","No",NA
"gs_548","No",NA
"gs_549","No",NA
"gs_550","No",NA
"gs_551","No",NA
"gs_552","No",NA
"gs_553","No",NA
"gs_554","No",NA
"gs_555","No",NA
"gs_556","No",NA
"gs_557","No",NA
"gs_558","No",NA
"gs_559","No",NA
"gs_560","No",NA
"gs_561","No",NA
"gs_562","No",NA
"gs_563","No",NA
"gs_564","No",NA
"gs_565","No",NA
"gs_566","No",NA
"gs_567","No",NA
"gs_568","No",NA
"gs_569","No",NA
"gs_570","No",NA
"gs_571","No",NA
"gs_572","No",NA
"gs_573","No",NA
"gs_574","No",NA
"gs_575","No",NA
"gs_576","No",NA
"gs_577","No",NA
"gs_578","No",NA
"gs_579","No",NA
"gs_580","No",NA
"gs_581","No",NA
"gs_582","No",NA
"gs_583","No",NA
"gs_584","No",NA
"gs_585","No",NA
"gs_586","No",NA
"gs_587","No",NA
"gs_588","No",NA
"gs_589","No",NA
"gs_590","No",NA
"gs_591","No",NA
"gs_592","No",NA
"gs_593","No",NA
"gs_594","No",NA
"gs_595","No",NA
"gs_596","No",NA
"gs_597","No",NA
"gs_598","No",NA
"gs_599","No",NA
"gs_600","No",NA
"gs_601","No",NA
"gs_602","No",NA
"gs_603","No",NA
"gs_604","No",NA
"gs_605","No",NA
"gs_606","No",NA
"gs_607","No",NA
"gs_608","No",NA
"gs_609","No",NA
"gs_610","No",NA
"gs_611","No",NA
"gs_612","No",NA
"gs_613","No",NA
"gs_614","No",NA
"gs_615","No",NA
"gs_616","No",NA
"gs_617","No",NA
"gs_618","No",NA
"gs_619","No",NA
"gs_620","No",NA
"gs_621","No",NA
"gs_622","No",NA
"gs_623","No",NA
"gs_624","No",NA
"gs_625","No",NA
"gs_626","No",NA
"gs_627","No",NA
"gs_628","No",NA
"gs_629","No",NA
"gs_630","No",NA
"gs_631","No",NA
"gs_632","No",NA
"gs_633","No",NA
"gs_634","No",NA
"gs_635","No",NA
"gs_636","No",NA
"gs_637","No",NA
"gs_638","No",NA
"gs_639","No",NA
"gs_640","No",NA
"gs_641","No",NA
"gs_642","No",NA
"gs_643","No",NA
"gs_644","No",NA
"gs_645","No",NA
"gs_646","No",NA
"gs_647","No",NA
"gs_648","No",NA
"gs_649","No",NA
"gs_650","No",NA
"gs_651","No",NA
"gs_652","No",NA
"gs_653","No",NA
"gs_654","No",NA
"gs_655","No",NA
"gs_656","No",NA
"gs_657","No",NA
"gs_658","No",NA
"gs_659","No",NA
"gs_660","No",NA
"gs_661","No",NA
"gs_662","No",NA
"gs_663","No",NA
"gs_664","No",NA
"gs_665","No",NA
"gs_666","No",NA
"gs_667","No",NA
"gs_668","No",NA
"gs_669","No",NA
"gs_670","No",NA
"gs_671","No",NA
"gs_672","No",NA
"gs_673","No",NA
"gs_674","No",NA
"gs_675","No",NA
"gs_676","No",NA
"gs_677","No",NA
"gs_678","No",NA
"gs_679","No",NA
"gs_680","No",NA
"gs_681","No",NA
"gs_682","No",NA
"gs_683","No",NA
"gs_684","No",NA
"gs_685","No",NA
"gs_686","No",NA
"gs_687","No",NA
"gs_688","No",NA
"gs_689","No",NA
"gs_690","No",NA
"gs_691","No",NA
"gs_692","No",NA
"gs_693","No",NA
"gs_694","No",NA
"gs_695","No",NA
"gs_696","No",NA
"gs_697","No",NA
"gs_698","No",NA
"gs_699","No",NA
"gs_700","No",NA
"gs_701","No",NA
"gs_702","No",NA
"gs_703","No",NA
"gs_704","No",NA
"gs_705","No",NA
"gs_706","No",NA
"gs_707","No",NA
"gs_708","No",NA
"gs_709","No",NA
"gs_710","No",NA
"gs_711","No",NA
"gs_712","No",NA
"gs_713","No",NA
"gs_714","No",NA
"gs_715","No",NA
"gs_716","No",NA
"gs_717","No",NA
"gs_718","No",NA
"gs_719","No",NA
"gs_720","No",NA
"gs_721","No",NA
"gs_722","No",NA
"gs_723","No",NA
"gs_724","No",NA
"gs_725","No",NA
"gs_726","No",NA
"gs_727","No",NA
"gs_728","No",NA
"gs_729","No",NA
"gs_730","No",NA
"gs_731","No",NA
"gs_732","No",NA
"gs_733","No",NA
"gs_734","No",NA
"gs_735","No",NA
"gs_736","No",NA
"gs_737","No",NA
"gs_738","No",NA
"gs_739","No",NA
"gs_740","No",NA
"gs_741","No",NA
"gs_742","No",NA
"gs_743","No",NA
"gs_744","No",NA
"gs_745","No",NA
"gs_746","No",NA
"gs_747","No",NA
"gs_748","No",NA
"gs_749","No",NA
"gs_750","No",NA
"gs_751","No",NA
"gs_752","No",NA
"gs_753","No",NA
"gs_754","No",NA
"gs_755","No",NA
"gs_756","No",NA
"gs_757","No",NA
"gs_758","No",NA
"gs_759","No",NA
"gs_760","No",NA
"gs_761","No",NA
"gs_762","No",NA
"gs_763","No",NA
"gs_764","No",NA
"gs_765","No",NA
"gs_766","No",NA
"gs_767","No",NA
"gs_768","No",NA
"gs_769","No",NA
"gs_770","No",NA
"gs_771","No",NA
"gs_772","No",NA
"gs_773","No",NA
"gs_774","No",NA
"gs_775","No",NA
"gs_776","No",NA
"gs_777","No",NA
"gs_778","No",NA
"gs_779","No",NA
"gs_780","No",NA
"gs_781","No",NA
"gs_782","No",NA
"gs_783","No",NA
"gs_784","No",NA
"gs_785","No",NA
"gs_786","No",NA
"gs_787","No",NA
"gs_788","No",NA
"gs_789","No",NA
"gs_790","No",NA
"gs_791","No",NA
"gs_792","No",NA
"gs_793","No",NA
"gs_794","No",NA
"gs_795","No",NA
"gs_796","No",NA
"gs_797","No",NA
"gs_798","No",NA
"gs_799","No",NA
"gs_800","No",NA
"gs_801","No",NA
"gs_802","No",NA
"gs_803","No",NA
"gs_804","No",NA
"gs_805","No",NA
"gs_806","No",NA
"gs_807","No",NA
"gs_808","No",NA
"gs_809","No",NA
"gs_810","No",NA
"gs_811","No",NA
"gs_812","No",NA
"gs_813","No",NA
"gs_814","No",NA
"gs_815","No",NA
"gs_816","No",NA
"gs_817","No",NA
"gs_818","No",NA
"gs_819","No",NA
"gs_820","No",NA
"gs_821","No",NA
"gs_822","No",NA
"gs_823","No",NA
"gs_824","No",NA
"gs_825","No",NA
"gs_826","No",NA
"gs_827","No",NA
"gs_828","No",NA
"gs_829","No",NA
"gs_830","No",NA
"gs_831","No",NA
"gs_832","No",NA
"gs_833","No",NA
"gs_834","No",NA
"gs_835","No",NA
"gs_836","No",NA
"gs_837","No",NA
"gs_838","No",NA
"gs_839","No",NA
"gs_840","No",NA
"gs_841","No",NA
"gs_842","No",NA
"gs_843","No",NA
"gs_844","No",NA
"gs_845","No",NA
"gs_846","No",NA
"gs_847","No",NA
"gs_848","No",NA
"gs_849","No",NA
"gs_850","No",NA
"gs_851","No",NA
"gs_852","No",NA
"gs_853","No",NA
"gs_854","No",NA
"gs_855","No",NA
"gs_856","No",NA
"gs_857","No",NA
"gs_858","No",NA
"gs_859","No",NA
"gs_860","No",NA
"gs_861","No",NA
"gs_862","No",NA
"gs_863","No",NA
"gs_864","No",NA
"gs_865","No",NA
"gs_866","No",NA
"gs_867","No",NA
"gs_868","No",NA
"gs_869","No",NA
"gs_870","No",NA
"gs_871","No",NA
"gs_872","No",NA
"gs_873","No",NA
"gs_874","No",NA
"gs_875","No",NA
"gs_876","No",NA
"gs_877","No",NA
"gs_878","No",NA
"gs_879","No",NA
"gs_880","No",NA
"gs_881","No",NA
"gs_882","No",NA
"gs_883","No",NA
"gs_884","No",NA
"gs_885","No",NA
"gs_886","No",NA
"gs_887","No",NA
"gs_888","No",NA
"gs_889","No",NA
"gs_890","No",NA
"gs_891","No",NA
"gs_892","No",NA
"gs_893","No",NA
"gs_894","No",NA
"gs_895","No",NA
"gs_896","No",NA
"gs_897","No",NA
"gs_898","No",NA
"gs_899","No",NA
"gs_900","No",NA
"gs_901","No",NA
"gs_902","No",NA
"gs_903","No",NA
"gs_904","No",NA
"gs_905","No",NA
"gs_906","No",NA
"gs_907","No",NA
"gs_908","No",NA
"gs_909","No",NA
"gs_910","No",NA
"gs_911","No",NA
"gs_912","No",NA
"gs_913","No",NA
"gs_914","No",NA
"gs_915","No",NA
"gs_916","No",NA
"gs_917","No",NA
"gs_918","No",NA
"gs_919","No",NA
"gs_920","No",NA
"gs_921","No",NA
"gs_922","No",NA
"gs_923","No",NA
"gs_924","No",NA
"gs_925","No",NA
"gs_926","No",NA
"gs_927","No",NA
"gs_928","No",NA
"gs_929","No",NA
"gs_930","No",NA
"gs_931","No",NA
"gs_932","No",NA
"gs_933","No",NA
"gs_934","No",NA
"gs_935","No",NA
"gs_936","No",NA
"gs_937","No",NA
"gs_938","No",NA
"gs_939","No",NA
"gs_940","No",NA
"gs_941","No",NA
"gs_942","No",NA
"gs_943","No",NA
"gs_944","No",NA
"gs_945","No",NA
"gs_946","No",NA
"gs_947","No",NA
"gs_948","No",NA
"gs_949","No",NA
"gs_950","No",NA
"gs_951","No",NA
"gs_952","No",NA
"gs_953","No",NA
"gs_954","No",NA
"gs_955","No",NA
"gs_956","No",NA
"gs_957","No",NA
"gs_958","No",NA
"gs_959","No",NA
"gs_960","No",NA
"gs_961","No",NA
"gs_962","No",NA
"gs_963","No",NA
"gs_964","No",NA
"gs_965","No",NA
"gs_966","No",NA
"gs_967","No",NA
"gs_968","No",NA
"gs_969","No",NA
"gs_970","No",NA
"gs_971","No",NA
"gs_972","No",NA
"gs_973","No",NA
"gs_974","No",NA
"gs_975","No",NA
"gs_976","No",NA
"gs_977","No",NA
"gs_978","No",NA
"gs_979","No",NA
"gs_980","No",NA
"gs_981","No",NA
"gs_982","No",NA
"gs_983","No",NA
"gs_984","No",NA
"gs_985","No",NA
"gs_986","No",NA
"gs_987","No",NA
"gs_988","No",NA
"gs_989","No",NA
"gs_990","No",NA
"gs_991","No",NA
"gs_992","No",NA
"gs_993","No",NA
"gs_994","No",NA
"gs_995","No",NA
"gs_996","No",NA
"gs_997","No",NA
"gs_998","No",NA
"gs_999","No",NA
"gs_1000","No",NA
"gs_1001","No",NA
"gs_1002","No",NA
"gs_1003","No",NA
"gs_1004","No",NA
"gs_1005","No",NA
"gs_1006","No",NA
"gs_1007","No",NA
"gs_1008","No",NA
"gs_1009","No",NA
"gs_1010","No",NA
"gs_1011","No",NA
"gs_1012","No",NA
"gs_1013","No",NA
"gs_1014","No",NA
"gs_1015","No",NA
"gs_1016","No",NA
"gs_1017","No",NA
"gs_1018","No",NA
"gs_1019","No",NA
"gs_1020","No",NA
"gs_1021","No",NA
"gs_1022","No",NA
"gs_1023","No",NA
"gs_1024","No",NA
"gs_1025","No",NA
"gs_1026","No",NA
"gs_1027","No",NA
"gs_1028","No",NA
"gs_1029","No",NA
"gs_1030","No",NA
"gs_1031","No",NA
"gs_1032","No",NA
"gs_1033","No",NA
"gs_1034","No",NA
"gs_1035","No",NA
"gs_1036","No",NA
"gs_1037","No",NA
"gs_1038","No",NA
"gs_1039","No",NA
"gs_1040","No",NA
"gs_1041","No",NA
"gs_1042","No",NA
"gs_1043","No",NA
"gs_1044","No",NA
"gs_1045","No",NA
"gs_1046","No",NA
"gs_1047","No",NA
"gs_1048","No",NA
"gs_1049","No",NA
"gs_1050","No",NA
"gs_1051","No",NA
"gs_1052","No",NA
"gs_1053","No",NA
"gs_1054","No",NA
"gs_1055","No",NA
"gs_1056","No",NA
"gs_1057","No",NA
"gs_1058","No",NA
"gs_1059","No",NA
"gs_1060","No",NA
"gs_1061","No",NA
"gs_1062","No",NA
"gs_1063","No",NA
"gs_1064","No",NA
"gs_1065","No",NA
"gs_1066","No",NA
"gs_1067","No",NA
"gs_1068","No",NA
"gs_1069","No",NA
"gs_1070","No",NA
"gs_1071","No",NA
"gs_1072","No",NA
"gs_1073","No",NA
"gs_1074","No",NA
"gs_1075","No",NA
"gs_1076","No",NA
"gs_1077","No",NA
"gs_1078","No",NA
"gs_1079","No",NA
"gs_1080","No",NA
"gs_1081","No",NA
"gs_1082","No",NA
"gs_1083","No",NA
"gs_1084","No",NA
"gs_1085","No",NA
"gs_1086","No",NA
"gs_1087","No",NA
"gs_1088","No",NA
"gs_1089","No",NA
"gs_1090","No",NA
"gs_1091","No",NA
"gs_1092","No",NA
"gs_1093","No",NA
"gs_1094","No",NA
"gs_1095","No",NA
"gs_1096","No",NA
"gs_1097","No",NA
"gs_1098","No",NA
"gs_1099","No",NA
"gs_1100","No",NA
"gs_1101","No",NA
"gs_1102","No",NA
"gs_1103","No",NA
"gs_1104","No",NA
"gs_1105","No",NA
"gs_1106","No",NA
"gs_1107","No",NA
"gs_1108","No",NA
"gs_1109","No",NA
"gs_1110","No",NA
"gs_1111","No",NA
"gs_1112","No",NA
"gs_1113","No",NA
"gs_1114","No",NA
"gs_1115","No",NA
"gs_1116","No",NA
"gs_1117","No",NA
"gs_1118","No",NA
"gs_1119","No",NA
"gs_1120","No",NA
"gs_1121","No",NA
"gs_1122","No",NA
"gs_1123","No",NA
"gs_1124","No",NA
"gs_1125","No",NA
"gs_1126","No",NA
"gs_1127","No",NA
"gs_1128","No",NA
"gs_1129","No",NA
"gs_1130","No",NA
"gs_1131","No",NA
"gs_1132","No",NA
"gs_1133","No",NA
"gs_1134","No",NA
"gs_1135","No",NA
"gs_1136","No",NA
"gs_1137","No",NA
"gs_1138","No",NA
"gs_1139","No",NA
"gs_1140","No",NA
"gs_1141","No",NA
"gs_1142","No",NA
"gs_1143","No",NA
"gs_1144","No",NA
"gs_1145","No",NA
"gs_1146","No",NA
"gs_1147","No",NA
"gs_1148","No",NA
"gs_1149","No",NA
"gs_1150","No",NA
"gs_1151","No",NA
"gs_1152","No",NA
"gs_1153","No",NA
"gs_1154","No",NA
"gs_1155","No",NA
"gs_1156","No",NA
"gs_1157","No",NA
"gs_1158","No",NA
"gs_1159","No",NA
"gs_1160","No",NA
"gs_1161","No",NA
"gs_1162","No",NA
"gs_1163","No",NA
"gs_1164","No",NA
"gs_1165","No",NA
"gs_1166","No",NA
"gs_1167","No",NA
"gs_1168","No",NA
"gs_1169","No",NA
"gs_1170","No",NA
"gs_1171","No",NA
"gs_1172","No",NA
"gs_1173","No",NA
"gs_1174","No",NA
"gs_1175","No",NA
"gs_1176","No",NA
"gs_1177","No",NA
"gs_1178","No",NA
"gs_1179","No",NA
"gs_1180","No",NA
"gs_1181","No",NA
"gs_1182","No",NA
"gs_1183","No",NA
"gs_1184","No",NA
"gs_1185","No",NA
"gs_1186","No",NA
"gs_1187","No",NA
"gs_1188","No",NA
"gs_1189","No",NA
"gs_1190","No",NA
"gs_1191","No",NA
"gs_1192","No",NA
"gs_1193","No",NA
"gs_1194","No",NA
"gs_1195","No",NA
"gs_1196","No",NA
"gs_1197","No",NA
"gs_1198","No",NA
"gs_1199","No",NA
"gs_1200","No",NA
"gs_1201","No",NA
"gs_1202","No",NA
"gs_1203","No",NA
"gs_1204","No",NA
"gs_1205","No",NA
"gs_1206","No",NA
"gs_1207","No",NA
"gs_1208","No",NA
"gs_1209","No",NA
"gs_1210","No",NA
"gs_1211","No",NA
"gs_1212","No",NA
"gs_1213","No",NA
"gs_1214","No",NA
"gs_1215","No",NA
"gs_1216","No",NA
"gs_1217","No",NA
"gs_1218","No",NA
"gs_1219","No",NA
"gs_1220","No",NA
"gs_1221","No",NA
"gs_1222","No",NA
"gs_1223","No",NA
"gs_1224","No",NA
"gs_1225","No",NA
"gs_1226","No",NA
"gs_1227","No",NA
"gs_1228","No",NA
"gs_1229","No",NA
"gs_1230","No",NA
"gs_1231","No",NA
"gs_1232","No",NA
"gs_1233","No",NA
"gs_1234","No",NA
"gs_1235","No",NA
"gs_1236","No",NA
"gs_1237","No",NA
"gs_1238","No",NA
"gs_1239","No",NA
"gs_1240","No",NA
"gs_1241","No",NA
"gs_1242","No",NA
"gs_1243","No",NA
"gs_1244","No",NA
"gs_1245","No",NA
"gs_1246","No",NA
"gs_1247","No",NA
"gs_1248","No",NA
"gs_1249","No",NA
"gs_1250","No",NA
"gs_1251","No",NA
"gs_1252","No",NA
"gs_1253","No",NA
"gs_1254","No",NA
"gs_1255","No",NA
"gs_1256","No",NA
"gs_1257","No",NA
"gs_1258","No",NA
"gs_1259","No",NA
"gs_1260","No",NA
"gs_1261","No",NA
"gs_1262","No",NA
"gs_1263","No",NA
"gs_1264","No",NA
"gs_1265","No",NA
